ymd,session_id,tracking_id,platform,is_app,is_repeater,traffic_type,country_name,agent_id,clickouts,bookings,session_duration,entry_page,total_ctp,arrival_day,departure_day
20180317,2.01803E+18,8TQMP2ZFW3,IN,0,0,2,India,20,1,0,691,2100,2,20180318,20180319
20180421,2.01804E+18,VR61OF5K1B,DE,0,1,2,Germany,20,0,0,134,2100,0,\N,\N
20180419,2.01804E+18,1M38SITXM0,TR,0,0,2,Turkey,20,0,0,189,2100,31,\N,\N
20180429,2.01804E+18,7J2MNK45NU,DE,0,0,10,Mexico,20,0,0,83,2116,0,\N,\N
20180405,2.01804E+18,4VB4NF25TK,UK,0,0,2,United Kingdom,20,1,0,2407,2100,80,20180825,20180830
20180408,2.01804E+18,EKA38076TX,AU,0,0,2,Australia,16,0,0,0,2142,2,\N,\N
20180330,2.01803E+18,10UZYQ5KZT,AU,0,1,2,Australia,14,0,0,49,2100,0,\N,\N
20180309,2.01803E+18,1WFFS905IM,FR,0,0,2,France,18,1,0,363,2100,15,20180310,20180311
20180421,2.01804E+18,3PDSG7YLD0,UK,0,1,2,Spain,26,0,0,17,2106,0,\N,\N
20180305,2.01803E+18,T5095D9VBM,KR,0,0,2,Korea  Republic of,12,4,0,1688,2100,15,20180402,20180406
20180409,2.01804E+18,L0B2B6967M,DE,0,0,2,Germany,4,1,0,59,2100,0,20180410,20180411
20180310,2.01803E+18,PLKOJ3VLK4,ES,0,1,2,Spain,20,1,0,187,2100,0,20180408,20180409
20180306,2.01803E+18,JNMBSNFC9Z,JP,0,0,2,Japan,28,1,0,264,2100,0,20180321,20180322
20180413,2.01804E+18,6XYGC3G188,CA,0,0,2,Canada,26,2,0,826,2115,2,20180515,20180517
20180427,2.01804E+18,JO4ALXLA5X,BG,0,0,2,Bulgaria,2,3,0,3154,2100,2,20180501,20180506
20180309,2.01803E+18,T6HDU8KHY8,UK,0,1,2,United Kingdom,20,4,0,234,2100,0,20180519,20180520
20180316,2.01803E+18,8TV86TVJGJ,HR,0,1,2,Croatia,24,0,0,0,2111,0,\N,\N
20180417,2.01804E+18,TZ4D4DXTYG,ZA,0,1,2,South Africa,2,2,0,811,2100,0,20180625,20180628
20180429,2.01804E+18,LK7LJ8WZTE,JP,0,0,2,Japan,18,0,0,1858,2100,0,\N,\N
